ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
192993,Bihar,Patna,Locality_333,Apartment,1,2435,210.78,0.09,2014,Unfurnished,23,24,11,1,2,High,No,No,"Clubhouse, Garden",West,Broker,Ready_to_Move
192994,Uttar Pradesh,Noida,Locality_7,Independent House,5,1729,408.06,0.24,2020,Semi-furnished,9,14,5,3,1,High,No,Yes,"Garden, Pool, Gym, Clubhouse, Playground",South,Builder,Under_Construction
192995,Kerala,Kochi,Locality_93,Villa,4,4954,356.07,0.07,2013,Semi-furnished,6,23,12,8,5,High,Yes,No,Pool,East,Builder,Ready_to_Move
192996,Delhi,Dwarka,Locality_458,Villa,4,1250,316.28,0.25,2020,Furnished,7,29,5,10,10,Medium,No,Yes,"Clubhouse, Garden, Playground, Gym",South,Owner,Ready_to_Move
192997,Chhattisgarh,Bilaspur,Locality_178,Villa,4,3269,211.58,0.06,1998,Unfurnished,9,10,27,6,2,Low,Yes,No,Gym,North,Builder,Under_Construction
192998,Uttar Pradesh,Lucknow,Locality_96,Independent House,3,1961,100.94,0.05,1995,Furnished,4,12,30,5,1,High,Yes,Yes,"Gym, Playground, Clubhouse, Garden",East,Broker,Under_Construction
192999,Assam,Guwahati,Locality_148,Independent House,3,4458,309.33,0.07,1996,Semi-furnished,15,2,29,4,7,High,No,No,Garden,South,Broker,Ready_to_Move
193000,Jharkhand,Ranchi,Locality_169,Villa,1,4039,200.23,0.05,2012,Semi-furnished,11,18,13,6,9,Low,No,No,Garden,North,Builder,Ready_to_Move
193001,West Bengal,Durgapur,Locality_12,Villa,2,3928,39.84,0.01,1993,Furnished,1,17,32,1,7,High,No,Yes,Gym,South,Builder,Under_Construction
193002,Assam,Guwahati,Locality_18,Independent House,3,2436,378.99,0.16,2023,Furnished,24,24,2,6,7,High,No,No,"Gym, Pool, Clubhouse, Playground",East,Owner,Under_Construction
193003,Karnataka,Bangalore,Locality_156,Villa,4,1395,237.73,0.17,1990,Furnished,29,20,35,1,5,High,No,No,"Clubhouse, Pool",East,Broker,Ready_to_Move
193004,Maharashtra,Pune,Locality_298,Apartment,2,1137,57.03,0.05,2002,Unfurnished,6,25,23,10,3,High,Yes,Yes,"Clubhouse, Playground",South,Owner,Ready_to_Move
193005,Odisha,Cuttack,Locality_423,Villa,2,3386,260.69,0.08,2021,Unfurnished,12,10,4,10,2,Low,No,No,"Clubhouse, Playground",East,Broker,Under_Construction
193006,Assam,Guwahati,Locality_202,Independent House,3,3991,294.49,0.07,2021,Semi-furnished,7,28,4,2,4,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Playground, Garden",East,Owner,Ready_to_Move
193007,Karnataka,Mangalore,Locality_42,Apartment,1,564,292.45,0.52,2023,Semi-furnished,3,13,2,6,5,Low,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",East,Owner,Ready_to_Move
193008,Andhra Pradesh,Vishakhapatnam,Locality_270,Independent House,1,4909,287.26,0.06,2011,Unfurnished,0,17,14,1,2,Low,No,Yes,"Clubhouse, Playground, Pool, Garden",South,Broker,Under_Construction
193009,Kerala,Kochi,Locality_480,Villa,2,1348,401.15,0.3,1990,Furnished,6,15,35,2,1,High,Yes,Yes,"Gym, Playground, Clubhouse, Garden, Pool",East,Broker,Ready_to_Move
193010,Uttar Pradesh,Noida,Locality_289,Apartment,5,2022,286.71,0.14,2015,Unfurnished,24,16,10,10,2,Low,No,Yes,"Garden, Clubhouse, Gym",South,Owner,Ready_to_Move
193011,Odisha,Bhubaneswar,Locality_5,Villa,3,3457,165.72,0.05,2004,Furnished,16,6,21,10,4,Low,Yes,No,"Garden, Playground, Clubhouse, Pool",East,Builder,Ready_to_Move
193012,Karnataka,Mangalore,Locality_206,Villa,5,2516,434.06,0.17,2023,Unfurnished,21,8,2,4,6,High,No,No,"Gym, Garden, Playground, Pool, Clubhouse",North,Owner,Under_Construction
193013,Uttar Pradesh,Noida,Locality_182,Apartment,4,575,43.44,0.08,2007,Furnished,1,21,18,6,2,Low,No,No,Playground,North,Broker,Ready_to_Move
193014,Punjab,Ludhiana,Locality_13,Independent House,5,4191,121.18,0.03,2000,Semi-furnished,24,12,25,2,2,Medium,Yes,No,Playground,North,Broker,Ready_to_Move
193015,Uttar Pradesh,Noida,Locality_271,Apartment,3,1080,16.92,0.02,2023,Furnished,15,1,2,6,3,Medium,No,No,"Garden, Playground, Pool, Clubhouse",East,Broker,Under_Construction
193016,Gujarat,Surat,Locality_363,Villa,4,3724,42.63,0.01,1992,Semi-furnished,4,27,33,6,5,Low,No,No,"Gym, Playground, Garden, Pool, Clubhouse",South,Builder,Under_Construction
193017,Assam,Guwahati,Locality_446,Villa,1,1596,70.92,0.04,1991,Unfurnished,2,14,34,1,10,Medium,No,No,"Playground, Gym",North,Owner,Ready_to_Move
193018,Andhra Pradesh,Vishakhapatnam,Locality_416,Independent House,2,1636,474.23,0.29,2016,Semi-furnished,15,27,9,9,1,Low,No,No,Playground,East,Broker,Under_Construction
193019,Madhya Pradesh,Bhopal,Locality_495,Villa,3,1242,20.89,0.02,2002,Furnished,23,30,23,2,2,Low,Yes,Yes,"Playground, Pool, Gym",South,Builder,Under_Construction
193020,Tamil Nadu,Chennai,Locality_479,Villa,4,3809,488.36,0.13,1998,Semi-furnished,23,14,27,4,8,Medium,Yes,No,"Pool, Gym, Playground, Clubhouse",North,Owner,Ready_to_Move
193021,Madhya Pradesh,Indore,Locality_374,Independent House,3,1368,417.54,0.31,2022,Semi-furnished,23,5,3,9,8,Medium,Yes,Yes,"Garden, Playground",East,Broker,Under_Construction
193022,West Bengal,Kolkata,Locality_302,Apartment,1,3876,269.4,0.07,2023,Unfurnished,10,27,2,7,6,Low,Yes,No,"Pool, Playground, Clubhouse, Garden, Gym",East,Builder,Under_Construction
193023,Kerala,Kochi,Locality_312,Independent House,2,4936,276.81,0.06,2010,Unfurnished,1,14,15,6,5,High,Yes,No,Garden,West,Builder,Under_Construction
193024,West Bengal,Durgapur,Locality_228,Villa,4,3174,247.93,0.08,1994,Unfurnished,6,30,31,3,6,High,No,No,"Pool, Clubhouse",South,Builder,Ready_to_Move
193025,Gujarat,Ahmedabad,Locality_126,Villa,4,874,341.11,0.39,1993,Semi-furnished,30,14,32,9,4,Medium,No,Yes,"Playground, Pool, Gym, Garden, Clubhouse",West,Builder,Under_Construction
193026,West Bengal,Kolkata,Locality_91,Independent House,2,2376,188.72,0.08,1996,Semi-furnished,17,13,29,3,10,High,Yes,Yes,Pool,East,Builder,Ready_to_Move
193027,Gujarat,Surat,Locality_328,Independent House,4,3676,20.13,0.01,2016,Furnished,5,10,9,9,6,High,Yes,No,"Gym, Garden, Clubhouse",North,Builder,Ready_to_Move
193028,Karnataka,Mangalore,Locality_151,Independent House,2,4864,266.91,0.05,2002,Unfurnished,26,4,23,8,10,Medium,No,Yes,"Playground, Garden, Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
193029,Rajasthan,Jodhpur,Locality_433,Apartment,5,1446,479.78,0.33,2019,Furnished,0,9,6,6,2,High,No,Yes,"Pool, Gym, Clubhouse",West,Broker,Ready_to_Move
193030,Haryana,Gurgaon,Locality_314,Villa,1,3717,333.58,0.09,2012,Furnished,7,15,13,5,4,Low,Yes,Yes,"Clubhouse, Gym",South,Builder,Under_Construction
193031,Tamil Nadu,Coimbatore,Locality_475,Villa,2,839,486.52,0.58,1993,Semi-furnished,13,29,32,1,7,Low,Yes,Yes,"Clubhouse, Garden, Pool, Playground",West,Builder,Under_Construction
193032,Gujarat,Ahmedabad,Locality_346,Villa,3,975,275.2,0.28,2019,Semi-furnished,9,19,6,6,5,High,No,No,"Playground, Clubhouse, Garden, Pool, Gym",South,Broker,Ready_to_Move
193033,Kerala,Kochi,Locality_207,Independent House,2,4480,330.0,0.07,1999,Furnished,15,1,26,2,4,Medium,Yes,Yes,"Playground, Gym, Garden, Clubhouse, Pool",North,Broker,Ready_to_Move
193034,Maharashtra,Mumbai,Locality_114,Independent House,1,1424,132.74,0.09,2013,Furnished,14,14,12,8,10,High,No,No,"Gym, Pool, Clubhouse",South,Broker,Under_Construction
193035,Delhi,New Delhi,Locality_232,Apartment,5,4883,159.26,0.03,2004,Semi-furnished,8,16,21,3,4,Medium,No,Yes,"Clubhouse, Playground, Garden, Pool, Gym",East,Owner,Under_Construction
193036,Madhya Pradesh,Indore,Locality_32,Apartment,3,876,421.41,0.48,2000,Unfurnished,14,7,25,4,6,Medium,No,Yes,Clubhouse,East,Broker,Ready_to_Move
193037,Punjab,Amritsar,Locality_215,Villa,4,3066,45.52,0.01,2014,Unfurnished,5,21,11,5,10,Medium,No,Yes,"Garden, Playground, Gym, Pool",North,Broker,Under_Construction
193038,Tamil Nadu,Coimbatore,Locality_85,Villa,1,3552,131.82,0.04,2012,Furnished,23,20,13,10,10,Medium,Yes,Yes,"Clubhouse, Gym, Garden, Playground, Pool",North,Owner,Under_Construction
193039,Kerala,Kochi,Locality_415,Independent House,3,2516,254.95,0.1,2002,Furnished,20,7,23,1,5,Low,No,Yes,Playground,South,Builder,Ready_to_Move
193040,Kerala,Kochi,Locality_321,Apartment,2,2440,439.11,0.18,1992,Furnished,6,6,33,6,6,High,Yes,Yes,"Clubhouse, Gym",East,Builder,Ready_to_Move
193041,Telangana,Warangal,Locality_155,Villa,1,4097,106.65,0.03,2007,Unfurnished,20,2,18,8,2,High,Yes,Yes,"Playground, Gym, Pool, Garden, Clubhouse",East,Broker,Under_Construction
193042,Andhra Pradesh,Vishakhapatnam,Locality_135,Apartment,5,645,295.34,0.46,1992,Furnished,0,24,33,10,5,Low,No,No,"Pool, Clubhouse",West,Broker,Under_Construction
193043,Gujarat,Surat,Locality_114,Villa,1,1390,185.51,0.13,2003,Unfurnished,3,16,22,10,5,Low,No,No,"Gym, Pool, Clubhouse",North,Builder,Ready_to_Move
193044,Bihar,Patna,Locality_12,Apartment,1,1016,411.21,0.4,2021,Semi-furnished,17,18,4,3,7,High,No,No,"Garden, Playground, Gym",East,Builder,Ready_to_Move
193045,Rajasthan,Jaipur,Locality_89,Apartment,2,3796,326.74,0.09,2023,Furnished,3,28,2,1,3,High,Yes,Yes,"Playground, Gym",East,Broker,Ready_to_Move
193046,Punjab,Amritsar,Locality_196,Apartment,1,579,43.16,0.07,1998,Unfurnished,29,17,27,3,7,Low,No,Yes,Garden,North,Builder,Ready_to_Move
193047,Karnataka,Mangalore,Locality_194,Villa,2,1404,199.42,0.14,2012,Furnished,2,26,13,6,10,Medium,No,No,"Gym, Pool, Clubhouse, Playground",South,Broker,Under_Construction
193048,Chhattisgarh,Bilaspur,Locality_213,Independent House,2,853,303.22,0.36,2004,Furnished,0,25,21,10,5,High,No,No,"Clubhouse, Garden, Gym",North,Broker,Under_Construction
193049,Punjab,Amritsar,Locality_83,Villa,5,2627,284.84,0.11,2006,Semi-furnished,13,28,19,10,7,Medium,No,No,Playground,West,Owner,Under_Construction
193050,Maharashtra,Nagpur,Locality_456,Independent House,1,2756,389.86,0.14,2012,Semi-furnished,9,16,13,3,5,Medium,No,No,"Playground, Garden, Clubhouse",North,Owner,Under_Construction
193051,West Bengal,Durgapur,Locality_123,Apartment,1,1072,157.08,0.15,2013,Unfurnished,12,28,12,8,2,High,No,No,"Gym, Clubhouse, Pool, Garden, Playground",North,Builder,Ready_to_Move
193052,West Bengal,Durgapur,Locality_25,Apartment,5,3236,147.1,0.05,2002,Furnished,27,26,23,8,7,Medium,No,No,"Gym, Pool, Clubhouse, Garden",East,Owner,Ready_to_Move
193053,West Bengal,Durgapur,Locality_340,Villa,2,4749,242.05,0.05,1991,Furnished,11,20,34,9,8,Low,Yes,Yes,"Garden, Playground, Pool",South,Broker,Under_Construction
193054,Haryana,Faridabad,Locality_432,Villa,2,4034,467.93,0.12,2007,Furnished,9,9,18,6,9,Medium,No,No,"Clubhouse, Garden, Playground",East,Broker,Ready_to_Move
193055,Maharashtra,Nagpur,Locality_35,Independent House,2,1902,133.51,0.07,2007,Furnished,21,22,18,10,2,Low,No,No,"Gym, Garden, Pool, Playground",South,Owner,Under_Construction
193056,Madhya Pradesh,Bhopal,Locality_438,Villa,4,686,147.86,0.22,2023,Unfurnished,16,13,2,1,9,Medium,Yes,No,Gym,East,Broker,Ready_to_Move
193057,Uttar Pradesh,Noida,Locality_50,Apartment,4,4942,34.17,0.01,2022,Unfurnished,1,21,3,10,10,High,No,No,"Gym, Clubhouse, Playground",West,Owner,Ready_to_Move
193058,Jharkhand,Jamshedpur,Locality_414,Independent House,5,3097,208.26,0.07,2015,Semi-furnished,25,3,10,7,2,Low,Yes,No,"Pool, Garden",North,Owner,Ready_to_Move
193059,Haryana,Gurgaon,Locality_45,Independent House,1,3819,46.67,0.01,1992,Unfurnished,1,21,33,8,9,Low,No,No,Gym,North,Builder,Under_Construction
193060,Haryana,Gurgaon,Locality_250,Villa,2,2237,379.66,0.17,2012,Furnished,22,29,13,9,5,Low,No,Yes,"Playground, Garden, Gym",North,Broker,Ready_to_Move
193061,Andhra Pradesh,Vishakhapatnam,Locality_136,Independent House,2,2723,244.01,0.09,1995,Semi-furnished,13,6,30,4,4,Low,No,No,"Clubhouse, Playground",West,Owner,Ready_to_Move
193062,Uttar Pradesh,Lucknow,Locality_62,Independent House,4,880,175.94,0.2,2023,Furnished,24,19,2,9,2,Low,No,No,"Playground, Garden",North,Builder,Ready_to_Move
193063,Maharashtra,Pune,Locality_304,Independent House,4,3674,150.57,0.04,2012,Unfurnished,9,17,13,10,5,Medium,No,No,"Playground, Garden",East,Owner,Ready_to_Move
193064,Jharkhand,Ranchi,Locality_18,Villa,4,3615,206.58,0.06,2017,Unfurnished,27,24,8,6,2,High,No,No,"Garden, Clubhouse",South,Owner,Ready_to_Move
193065,Punjab,Amritsar,Locality_449,Independent House,1,4217,486.3,0.12,2006,Furnished,28,18,19,4,6,High,Yes,No,"Clubhouse, Playground",East,Broker,Ready_to_Move
193066,Kerala,Trivandrum,Locality_57,Independent House,1,2169,302.9,0.14,2022,Semi-furnished,11,24,3,9,9,Medium,No,Yes,"Playground, Garden, Pool, Clubhouse, Gym",North,Broker,Ready_to_Move
193067,Haryana,Gurgaon,Locality_126,Apartment,2,4531,54.93,0.01,1999,Unfurnished,24,5,26,8,4,High,No,Yes,"Playground, Garden, Pool, Clubhouse, Gym",South,Broker,Ready_to_Move
193068,Delhi,Dwarka,Locality_271,Independent House,5,2812,214.53,0.08,2001,Furnished,23,13,24,2,10,High,No,Yes,"Playground, Gym, Pool, Garden",North,Broker,Ready_to_Move
193069,Delhi,Dwarka,Locality_272,Independent House,1,1380,110.13,0.08,2019,Unfurnished,10,23,6,2,2,High,No,Yes,Pool,East,Owner,Under_Construction
193070,Punjab,Ludhiana,Locality_149,Villa,5,2025,115.82,0.06,1990,Furnished,18,7,35,10,6,High,Yes,No,"Clubhouse, Garden, Playground",North,Broker,Under_Construction
193071,Delhi,Dwarka,Locality_456,Villa,1,1293,434.4,0.34,2014,Unfurnished,18,7,11,7,9,High,Yes,No,"Garden, Clubhouse, Pool",East,Builder,Ready_to_Move
193072,Maharashtra,Mumbai,Locality_372,Independent House,4,1971,245.67,0.12,2012,Semi-furnished,27,1,13,7,7,Low,Yes,Yes,Pool,North,Builder,Under_Construction
193073,Assam,Silchar,Locality_240,Villa,2,1710,43.99,0.03,1991,Furnished,25,14,34,6,6,Medium,No,Yes,"Pool, Gym",North,Owner,Under_Construction
193074,Andhra Pradesh,Vishakhapatnam,Locality_73,Independent House,3,4450,491.46,0.11,2020,Furnished,23,17,5,10,8,Low,Yes,No,Pool,North,Owner,Ready_to_Move
193075,Delhi,New Delhi,Locality_168,Apartment,5,4860,338.02,0.07,2017,Unfurnished,21,25,8,6,3,Medium,Yes,Yes,"Clubhouse, Playground",North,Broker,Ready_to_Move
193076,Assam,Silchar,Locality_138,Villa,4,4955,222.54,0.04,1991,Furnished,20,11,34,9,2,Medium,Yes,No,"Pool, Garden",North,Broker,Ready_to_Move
193077,Jharkhand,Ranchi,Locality_60,Independent House,1,4963,121.58,0.02,2007,Unfurnished,20,24,18,6,4,Low,Yes,No,"Garden, Pool, Playground, Clubhouse, Gym",East,Builder,Ready_to_Move
193078,Maharashtra,Nagpur,Locality_165,Villa,2,4029,56.37,0.01,2005,Semi-furnished,20,23,20,4,9,High,No,No,Pool,West,Owner,Ready_to_Move
193079,West Bengal,Durgapur,Locality_14,Independent House,2,3862,125.12,0.03,2022,Semi-furnished,30,27,3,6,6,High,No,No,"Playground, Pool",East,Builder,Ready_to_Move
193080,Rajasthan,Jodhpur,Locality_254,Villa,4,1746,212.03,0.12,1996,Furnished,27,30,29,1,7,Medium,No,No,"Pool, Clubhouse, Garden, Gym, Playground",North,Broker,Ready_to_Move
193081,Andhra Pradesh,Vishakhapatnam,Locality_157,Apartment,5,830,41.76,0.05,1997,Semi-furnished,18,6,28,1,6,Medium,No,No,Pool,South,Broker,Ready_to_Move
193082,Chhattisgarh,Raipur,Locality_61,Independent House,1,3144,364.61,0.12,1999,Unfurnished,22,12,26,4,2,Low,No,Yes,"Clubhouse, Pool, Gym",East,Broker,Ready_to_Move
193083,Telangana,Hyderabad,Locality_94,Independent House,5,2327,301.71,0.13,2009,Semi-furnished,27,30,16,3,10,Medium,No,No,"Playground, Pool, Garden, Gym",East,Broker,Under_Construction
193084,Telangana,Hyderabad,Locality_479,Villa,1,2810,377.97,0.13,2012,Unfurnished,19,24,13,1,2,High,No,Yes,Pool,North,Owner,Ready_to_Move
193085,Kerala,Trivandrum,Locality_146,Apartment,1,3109,443.36,0.14,2002,Unfurnished,15,19,23,1,5,Low,Yes,No,Pool,East,Owner,Ready_to_Move
193086,Kerala,Kochi,Locality_379,Apartment,2,916,28.64,0.03,2003,Semi-furnished,22,27,22,1,10,High,Yes,No,"Garden, Gym, Playground, Clubhouse, Pool",North,Owner,Ready_to_Move
193087,Telangana,Warangal,Locality_76,Apartment,4,4235,245.33,0.06,1993,Furnished,26,24,32,2,7,Low,Yes,Yes,"Clubhouse, Playground, Gym",South,Builder,Under_Construction
193088,Maharashtra,Pune,Locality_328,Independent House,1,2723,311.79,0.11,2002,Unfurnished,16,12,23,1,8,Low,No,No,Pool,West,Broker,Ready_to_Move
193089,Telangana,Hyderabad,Locality_115,Independent House,4,4208,65.95,0.02,2010,Unfurnished,19,15,15,3,1,Low,No,Yes,"Pool, Clubhouse, Gym, Garden",North,Owner,Ready_to_Move
193090,Assam,Silchar,Locality_407,Villa,4,2258,51.26,0.02,1990,Unfurnished,23,16,35,10,6,Medium,No,Yes,"Playground, Gym",North,Owner,Under_Construction
193091,Delhi,Dwarka,Locality_252,Villa,2,1207,34.94,0.03,2000,Semi-furnished,22,11,25,6,10,Low,No,Yes,"Pool, Garden, Gym, Clubhouse",South,Builder,Ready_to_Move
193092,Uttarakhand,Dehradun,Locality_199,Villa,4,2525,460.69,0.18,1999,Semi-furnished,16,11,26,10,8,Low,Yes,No,Clubhouse,North,Broker,Ready_to_Move
193093,Assam,Guwahati,Locality_340,Independent House,5,828,352.55,0.43,2010,Unfurnished,21,9,15,2,9,Low,No,No,"Clubhouse, Playground",South,Builder,Under_Construction
193094,Uttarakhand,Haridwar,Locality_427,Villa,1,3766,479.25,0.13,1999,Unfurnished,26,24,26,9,8,High,Yes,Yes,"Playground, Pool, Garden, Gym",East,Builder,Ready_to_Move
193095,Uttar Pradesh,Noida,Locality_254,Villa,5,1349,287.28,0.21,2020,Semi-furnished,1,26,5,1,1,Low,Yes,No,Playground,East,Broker,Ready_to_Move
193096,Telangana,Warangal,Locality_262,Independent House,4,2496,482.44,0.19,1999,Semi-furnished,8,5,26,10,3,High,No,Yes,Clubhouse,South,Broker,Under_Construction
193097,Haryana,Gurgaon,Locality_459,Villa,5,1146,66.31,0.06,2017,Semi-furnished,21,11,8,10,9,Medium,No,Yes,Pool,West,Owner,Ready_to_Move
193098,Delhi,Dwarka,Locality_402,Apartment,4,4799,441.05,0.09,2006,Furnished,14,17,19,8,3,Low,No,No,"Clubhouse, Garden, Playground, Pool, Gym",West,Builder,Ready_to_Move
193099,Gujarat,Ahmedabad,Locality_336,Independent House,2,4224,411.98,0.1,1991,Unfurnished,8,3,34,2,5,Medium,Yes,No,"Garden, Pool",North,Owner,Ready_to_Move
193100,Uttarakhand,Dehradun,Locality_395,Independent House,4,4260,260.4,0.06,2020,Furnished,8,17,5,2,2,Low,No,No,Pool,East,Owner,Ready_to_Move
193101,Telangana,Warangal,Locality_422,Apartment,5,3950,93.78,0.02,1993,Unfurnished,17,10,32,4,4,High,No,Yes,Pool,West,Owner,Under_Construction
193102,Chhattisgarh,Raipur,Locality_204,Villa,2,4747,364.27,0.08,2012,Furnished,9,12,13,3,3,High,Yes,No,"Clubhouse, Pool, Playground, Garden, Gym",North,Owner,Under_Construction
193103,Andhra Pradesh,Vishakhapatnam,Locality_257,Apartment,4,4318,308.23,0.07,2005,Furnished,1,10,20,8,4,Low,Yes,No,Gym,West,Builder,Under_Construction
193104,Karnataka,Mysore,Locality_230,Villa,1,518,27.16,0.05,2015,Semi-furnished,25,2,10,3,6,High,No,No,"Gym, Garden, Clubhouse, Pool",West,Builder,Ready_to_Move
193105,Odisha,Cuttack,Locality_456,Villa,2,2498,303.63,0.12,1997,Unfurnished,24,24,28,8,10,Low,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",East,Broker,Ready_to_Move
193106,Uttar Pradesh,Lucknow,Locality_449,Apartment,3,825,17.68,0.02,2007,Unfurnished,18,16,18,10,10,High,Yes,No,"Gym, Clubhouse",North,Owner,Ready_to_Move
193107,Odisha,Bhubaneswar,Locality_278,Apartment,5,3721,83.57,0.02,2022,Unfurnished,26,2,3,2,8,Low,No,No,"Pool, Clubhouse, Playground, Gym",North,Broker,Ready_to_Move
193108,Uttar Pradesh,Noida,Locality_310,Villa,3,2215,467.56,0.21,2009,Semi-furnished,5,18,16,6,2,Medium,No,Yes,"Garden, Pool, Clubhouse",South,Owner,Under_Construction
193109,Odisha,Bhubaneswar,Locality_125,Apartment,4,818,479.87,0.59,1994,Semi-furnished,0,23,31,10,4,Medium,Yes,Yes,"Garden, Pool",East,Broker,Ready_to_Move
193110,Haryana,Gurgaon,Locality_71,Apartment,5,4472,213.1,0.05,1994,Unfurnished,30,24,31,7,10,High,No,No,"Gym, Playground",West,Broker,Ready_to_Move
193111,Karnataka,Mysore,Locality_130,Villa,5,1784,493.06,0.28,1994,Unfurnished,24,30,31,6,6,High,Yes,No,"Pool, Gym, Playground",East,Builder,Ready_to_Move
193112,Jharkhand,Jamshedpur,Locality_321,Villa,2,2027,35.15,0.02,2007,Semi-furnished,12,30,18,3,8,High,No,No,Gym,West,Builder,Ready_to_Move
193113,Karnataka,Mangalore,Locality_314,Villa,3,939,285.12,0.3,2017,Furnished,24,8,8,2,8,Low,No,Yes,"Clubhouse, Pool, Gym",East,Owner,Ready_to_Move
193114,Karnataka,Mysore,Locality_394,Villa,1,2203,451.26,0.2,2009,Semi-furnished,9,14,16,6,10,Medium,Yes,Yes,"Garden, Pool",East,Builder,Ready_to_Move
193115,Gujarat,Ahmedabad,Locality_364,Independent House,4,2867,158.64,0.06,2019,Unfurnished,7,12,6,8,4,Medium,No,No,"Pool, Garden, Gym",East,Builder,Under_Construction
193116,Haryana,Faridabad,Locality_445,Independent House,1,4743,493.33,0.1,2001,Semi-furnished,16,25,24,4,2,Medium,Yes,No,"Garden, Gym, Playground, Pool",North,Broker,Under_Construction
193117,Rajasthan,Jodhpur,Locality_498,Independent House,3,568,292.23,0.51,1991,Furnished,8,8,34,3,10,Medium,No,Yes,"Pool, Clubhouse, Garden",North,Owner,Ready_to_Move
193118,Karnataka,Mysore,Locality_309,Villa,2,2660,267.16,0.1,2001,Furnished,2,12,24,6,4,Medium,Yes,No,Garden,West,Builder,Ready_to_Move
193119,Rajasthan,Jaipur,Locality_405,Apartment,3,4403,119.96,0.03,1992,Unfurnished,12,3,33,2,9,High,Yes,Yes,"Gym, Garden, Playground",West,Broker,Under_Construction
193120,Punjab,Amritsar,Locality_280,Villa,2,4204,318.41,0.08,2013,Unfurnished,19,8,12,9,10,Medium,Yes,Yes,"Playground, Garden, Pool",East,Broker,Under_Construction
193121,Chhattisgarh,Raipur,Locality_271,Apartment,3,2200,241.22,0.11,2008,Semi-furnished,28,29,17,10,9,High,Yes,No,"Pool, Clubhouse",East,Owner,Ready_to_Move
193122,West Bengal,Durgapur,Locality_319,Independent House,5,678,230.64,0.34,1990,Semi-furnished,24,30,35,1,9,Low,Yes,No,Gym,North,Broker,Ready_to_Move
193123,Chhattisgarh,Raipur,Locality_394,Apartment,4,1744,289.65,0.17,2023,Unfurnished,7,3,2,9,8,Low,No,Yes,"Playground, Clubhouse",South,Broker,Ready_to_Move
193124,Rajasthan,Jodhpur,Locality_456,Villa,3,3553,183.49,0.05,2010,Unfurnished,9,30,15,6,10,Low,Yes,Yes,Gym,East,Broker,Under_Construction
193125,Tamil Nadu,Chennai,Locality_215,Apartment,2,2241,85.39,0.04,1990,Furnished,16,20,35,10,2,High,No,No,"Pool, Playground, Gym",South,Broker,Ready_to_Move
193126,Karnataka,Mysore,Locality_45,Independent House,1,986,312.87,0.32,1998,Furnished,10,19,27,8,9,Medium,No,Yes,Clubhouse,South,Broker,Ready_to_Move
193127,Odisha,Bhubaneswar,Locality_128,Independent House,3,3281,191.81,0.06,1997,Semi-furnished,8,21,28,5,7,Low,No,No,"Playground, Gym, Pool",East,Owner,Ready_to_Move
193128,Andhra Pradesh,Vishakhapatnam,Locality_184,Independent House,4,4674,162.54,0.03,1992,Furnished,25,10,33,8,4,Low,No,Yes,"Garden, Pool, Gym",South,Owner,Under_Construction
193129,Tamil Nadu,Coimbatore,Locality_162,Apartment,5,3120,43.42,0.01,2010,Semi-furnished,22,24,15,2,5,Medium,No,Yes,"Clubhouse, Playground, Pool",South,Builder,Ready_to_Move
193130,Punjab,Ludhiana,Locality_162,Apartment,4,2696,120.53,0.04,1996,Furnished,18,27,29,3,6,High,Yes,No,"Clubhouse, Gym, Playground, Pool, Garden",West,Owner,Ready_to_Move
193131,Madhya Pradesh,Indore,Locality_91,Villa,5,1572,63.28,0.04,2011,Furnished,26,10,14,5,5,Medium,No,No,"Playground, Gym, Clubhouse, Garden, Pool",North,Owner,Ready_to_Move
193132,Odisha,Bhubaneswar,Locality_282,Villa,1,4441,169.22,0.04,1990,Semi-furnished,11,10,35,1,9,Medium,Yes,Yes,"Pool, Clubhouse, Playground, Garden",East,Broker,Ready_to_Move
193133,Telangana,Hyderabad,Locality_68,Villa,4,4563,255.01,0.06,1990,Unfurnished,23,4,35,10,3,High,No,Yes,"Gym, Clubhouse, Pool, Garden, Playground",South,Builder,Under_Construction
193134,Rajasthan,Jodhpur,Locality_284,Villa,4,3660,157.72,0.04,2018,Unfurnished,17,26,7,1,6,Low,No,Yes,Pool,North,Broker,Ready_to_Move
193135,West Bengal,Durgapur,Locality_406,Apartment,4,958,436.72,0.46,2013,Semi-furnished,23,13,12,1,9,Low,No,No,"Gym, Playground, Pool",North,Builder,Ready_to_Move
193136,Maharashtra,Mumbai,Locality_203,Apartment,1,1436,419.64,0.29,1994,Furnished,23,19,31,1,10,Low,No,No,"Garden, Pool, Clubhouse, Playground, Gym",North,Builder,Under_Construction
193137,Punjab,Amritsar,Locality_383,Independent House,4,2596,435.97,0.17,2013,Semi-furnished,24,2,12,6,10,High,No,Yes,"Gym, Clubhouse, Playground",East,Broker,Under_Construction
